x,y
0,672
1,37
2,34
3,68
4,23
5,57
6,48
7,50
8,21
9,50
10,46
11,54
12,24
13,63
14,29
15,35
16,573
17,33
18,29
19,59
20,20
21,52
22,43
23,45
24,17
25,45
26,41
27,48
28,22
29,53
30,25
31,31
32,523
33,30
34,26
35,52
36,18
37,48
38,40
39,42
40,16
41,42
42,37
43,48
44,20
45,48
46,24
47,29
48,480
49,28
50,23
51,48
52,16
53,42
54,36
55,38
56,14
57,38
58,33
59,41
60,19
61,42
62,21
63,26
64,436
65,25
66,20
67,40
68,14
69,39
70,32
71,34
72,12
73,34
74,29
75,36
76,18
77,37
78,18
79,23
80,393
81,22
82,18
83,35
84,12
85,35
86,28
87,30
88,10
89,30
90,26
91,32
92,16
93,32
94,17
95,20
96,345
97,19
98,15
99,29
100,10
101,29
102,24
103,26
104,8
105,27
106,22
107,27
108,14
109,26
110,12
111,17
112,298
113,16
114,12
115,23
116,8
117,24
118,20
119,22
120,6
121,23
122,18
123,22
124,12
125,20
126,9
127,14
128,254
129,13
130,9
131,19
132,6
133,20
134,17
135,19
136,4
137,19
138,14
139,17
140,10
141,15
142,7
143,11
144,211
145,10
146,7
147,14
148,4
149,16
150,13
151,17
152,3
153,15
154,10
155,12
156,8
157,9
158,4
159,8
160,163
161,7
162,4
163,9
164,4
165,12
166,9
167,12
168,1
169,11
170,6
171,8
172,6
173,4
174,2
175,6
176,121
177,5
178,2
179,3
180,3
181,7
182,5
183,9
184,0
185,7
186,3
187,7
188,4
189,2
190,1
191,4
192,84
193,3
194,1
195,1
196,3
197,4
198,2
199,6
200,0
201,4
202,1
203,5
204,3
205,0
206,0
207,2
208,49
209,1
210,0
211,0
212,2
213,2
214,1
215,3
216,0
217,2
218,0
219,3
220,2
221,0
222,0
223,1
224,19
225,0
226,0
227,0
228,1
229,1
230,0
231,1
232,0
233,0
234,0
235,1
236,1
237,0
238,0
239,0
240,3
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,0
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,0
634,0
635,0
636,0
637,0
638,0
639,0
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,0
652,0
653,0
654,0
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,0
670,0
671,0
