date,a
01/06/2017 12:30:09,0
01/06/2017 12:30:09,100
01/06/2017 12:45:09,100
01/06/2017 12:45:09,200
01/06/2017 13:00:09,200
01/06/2017 13:00:09,200
01/06/2017 13:15:09,200
01/06/2017 13:15:09,300
01/06/2017 13:30:09,300
01/06/2017 13:30:09,400
01/06/2017 13:45:09,400
01/06/2017 13:45:09,500
01/06/2017 14:00:09,500
01/06/2017 14:00:09,500
01/06/2017 14:15:09,500
01/06/2017 14:15:09,600
01/06/2017 14:30:09,600
01/06/2017 14:30:09,700
01/06/2017 14:45:09,700
01/06/2017 14:45:09,800
01/06/2017 15:00:09,800
01/06/2017 15:00:09,900
01/06/2017 15:15:09,900
01/06/2017 15:15:09,1000
01/06/2017 15:30:09,1000
01/06/2017 15:30:09,1100
01/06/2017 15:45:09,1100
01/06/2017 15:45:09,900
01/06/2017 16:00:09,900
01/06/2017 16:00:09,1200
01/06/2017 16:15:09,1200
01/06/2017 16:15:09,1000
01/06/2017 16:30:09,1000
01/06/2017 16:30:09,100
01/06/2017 16:45:09,100
01/06/2017 16:45:09,200
01/06/2017 17:00:09,200
01/06/2017 17:00:09,200
01/06/2017 17:15:09,200
01/06/2017 17:15:09,300
01/06/2017 17:30:09,300
01/06/2017 17:30:09,400
01/06/2017 17:45:09,400
01/06/2017 17:45:09,500
01/06/2017 18:00:09,500
01/06/2017 18:00:09,500
01/06/2017 18:15:09,500
01/06/2017 18:15:09,600
01/06/2017 18:30:09,600
01/06/2017 18:30:09,700
01/06/2017 18:45:09,700
01/06/2017 18:45:09,1300
01/06/2017 19:00:09,1300
01/06/2017 19:00:09,1400
01/06/2017 19:15:09,1400
01/06/2017 19:15:09,1500
01/06/2017 19:30:09,1500
01/06/2017 19:30:09,1600
01/06/2017 19:45:09,1600
01/06/2017 19:45:09,900
01/06/2017 20:00:09,900
01/06/2017 20:00:09,1200
01/06/2017 20:15:09,1200
01/06/2017 20:15:09,1700
01/06/2017 20:30:09,1700
