date,a
05/06/2017 08:35:52,0
05/06/2017 08:35:52,100
05/06/2017 08:50:52,100
05/06/2017 08:50:52,200
05/06/2017 09:05:52,200
05/06/2017 09:05:52,200
05/06/2017 09:20:52,200
05/06/2017 09:20:52,300
05/06/2017 09:35:52,300
05/06/2017 09:35:52,200
05/06/2017 09:50:52,200
05/06/2017 09:50:52,200
05/06/2017 10:05:52,200
05/06/2017 10:05:52,200
05/06/2017 10:20:52,200
05/06/2017 10:20:52,200
05/06/2017 10:35:52,200
05/06/2017 10:35:52,400
05/06/2017 10:50:52,400
05/06/2017 10:50:52,200
05/06/2017 11:05:52,200
05/06/2017 11:05:52,200
05/06/2017 11:20:52,200
05/06/2017 11:20:52,200
05/06/2017 11:35:52,200
05/06/2017 11:35:52,500
05/06/2017 11:50:52,500
05/06/2017 11:50:52,200
05/06/2017 12:05:52,200
05/06/2017 12:05:52,200
05/06/2017 12:20:52,200
05/06/2017 12:20:52,200
05/06/2017 12:35:52,200
05/06/2017 12:35:52,100
05/06/2017 12:50:52,100
05/06/2017 12:50:52,200
05/06/2017 13:05:52,200
05/06/2017 13:05:52,200
05/06/2017 13:20:52,200
05/06/2017 13:20:52,200
05/06/2017 13:35:52,200
05/06/2017 13:35:52,600
05/06/2017 13:50:52,600
05/06/2017 13:50:52,200
05/06/2017 14:05:52,200
05/06/2017 14:05:52,200
05/06/2017 14:20:52,200
05/06/2017 14:20:52,100
05/06/2017 14:35:52,100
05/06/2017 14:35:52,300
05/06/2017 14:50:52,300
05/06/2017 14:50:52,200
05/06/2017 15:05:52,200
05/06/2017 15:05:52,200
05/06/2017 15:20:52,200
05/06/2017 15:20:52,200
05/06/2017 15:35:52,200
05/06/2017 15:35:52,200
05/06/2017 15:50:52,200
05/06/2017 15:50:52,200
05/06/2017 16:05:52,200
05/06/2017 16:05:52,200
05/06/2017 16:20:52,200
05/06/2017 16:20:52,100
05/06/2017 16:35:52,100
05/06/2017 16:35:52,100
05/06/2017 16:50:52,100
05/06/2017 16:50:52,200
05/06/2017 17:05:52,200
05/06/2017 17:05:52,200
05/06/2017 17:20:52,200
05/06/2017 17:20:52,300
05/06/2017 17:35:52,300
05/06/2017 17:35:52,500
05/06/2017 17:50:52,500
05/06/2017 17:50:52,200
05/06/2017 18:05:52,200
05/06/2017 18:05:52,200
05/06/2017 18:20:52,200
05/06/2017 18:20:52,100
05/06/2017 18:35:52,100
05/06/2017 18:35:52,500
05/06/2017 18:50:52,500
05/06/2017 18:50:52,200
05/06/2017 19:05:52,200
05/06/2017 19:05:52,200
05/06/2017 19:20:52,200
05/06/2017 19:20:52,200
05/06/2017 19:35:52,200
05/06/2017 19:35:52,200
05/06/2017 19:50:52,200
05/06/2017 19:50:52,200
05/06/2017 20:05:52,200
05/06/2017 20:05:52,200
05/06/2017 20:20:52,200
05/06/2017 20:20:52,200
05/06/2017 20:35:52,200
05/06/2017 20:35:52,100
05/06/2017 20:50:52,100
05/06/2017 20:50:52,200
05/06/2017 21:05:52,200
05/06/2017 21:05:52,200
05/06/2017 21:20:52,200
05/06/2017 21:20:52,300
05/06/2017 21:35:52,300
05/06/2017 21:35:52,300
05/06/2017 21:50:52,300
05/06/2017 21:50:52,200
05/06/2017 22:05:52,200
05/06/2017 22:05:52,200
05/06/2017 22:20:52,200
05/06/2017 22:20:52,200
05/06/2017 22:35:52,200
05/06/2017 22:35:52,100
05/06/2017 22:50:52,100
05/06/2017 22:50:52,200
05/06/2017 23:05:52,200
05/06/2017 23:05:52,200
05/06/2017 23:20:52,200
05/06/2017 23:20:52,100
05/06/2017 23:35:52,100
05/06/2017 23:35:52,400
05/06/2017 23:50:52,400
05/06/2017 23:50:52,200
06/06/2017 00:05:52,200
06/06/2017 00:05:52,200
06/06/2017 00:20:52,200
06/06/2017 00:20:52,200
06/06/2017 00:35:52,200
06/06/2017 00:35:52,200
06/06/2017 00:50:52,200
06/06/2017 00:50:52,200
06/06/2017 01:05:52,200
06/06/2017 01:05:52,200
06/06/2017 01:20:52,200
06/06/2017 01:20:52,300
06/06/2017 01:35:52,300
06/06/2017 01:35:52,100
06/06/2017 01:50:52,100
06/06/2017 01:50:52,200
06/06/2017 02:05:52,200
06/06/2017 02:05:52,200
06/06/2017 02:20:52,200
06/06/2017 02:20:52,100
06/06/2017 02:35:52,100
06/06/2017 02:35:52,200
06/06/2017 02:50:52,200
06/06/2017 02:50:52,200
06/06/2017 03:05:52,200
06/06/2017 03:05:52,200
06/06/2017 03:20:52,200
06/06/2017 03:20:52,100
06/06/2017 03:35:52,100
06/06/2017 03:35:52,200
06/06/2017 03:50:52,200
06/06/2017 03:50:52,200
06/06/2017 04:05:52,200
06/06/2017 04:05:52,200
06/06/2017 04:20:52,200
06/06/2017 04:20:52,200
06/06/2017 04:35:52,200
06/06/2017 04:35:52,400
06/06/2017 04:50:52,400
06/06/2017 04:50:52,200
06/06/2017 05:05:52,200
06/06/2017 05:05:52,200
06/06/2017 05:20:52,200
06/06/2017 05:20:52,200
06/06/2017 05:35:52,200
06/06/2017 05:35:52,200
06/06/2017 05:50:52,200
06/06/2017 05:50:52,200
06/06/2017 06:05:52,200
06/06/2017 06:05:52,200
06/06/2017 06:20:52,200
06/06/2017 06:20:52,200
06/06/2017 06:35:52,200
06/06/2017 06:35:52,100
06/06/2017 06:50:52,100
06/06/2017 06:50:52,200
06/06/2017 07:05:52,200
06/06/2017 07:05:52,200
06/06/2017 07:20:52,200
06/06/2017 07:20:52,300
06/06/2017 07:35:52,300
06/06/2017 07:35:52,200
06/06/2017 07:50:52,200
06/06/2017 07:50:52,200
06/06/2017 08:05:52,200
06/06/2017 08:05:52,300
06/06/2017 08:20:52,300
06/06/2017 08:20:52,700
06/06/2017 08:35:52,700
06/06/2017 08:35:52,800
06/06/2017 08:50:52,800
06/06/2017 08:50:52,900
06/06/2017 09:05:52,900
06/06/2017 09:05:52,900
06/06/2017 09:20:52,900
06/06/2017 09:20:52,900
06/06/2017 09:35:52,900
06/06/2017 09:35:52,900
06/06/2017 09:50:52,900
06/06/2017 09:50:52,900
06/06/2017 10:05:52,900
06/06/2017 10:05:52,900
06/06/2017 10:20:52,900
06/06/2017 10:20:52,900
06/06/2017 10:35:52,900
06/06/2017 10:35:52,300
06/06/2017 10:50:52,300
06/06/2017 10:50:52,900
06/06/2017 11:05:52,900
06/06/2017 11:05:52,900
06/06/2017 11:20:52,900
06/06/2017 11:20:52,700
06/06/2017 11:35:52,700
06/06/2017 11:35:52,300
06/06/2017 11:50:52,300
06/06/2017 11:50:52,1000
06/06/2017 12:05:52,1000
06/06/2017 12:05:52,900
06/06/2017 12:20:52,900
06/06/2017 12:20:52,400
06/06/2017 12:35:52,400
06/06/2017 12:35:52,900
06/06/2017 12:50:52,900
06/06/2017 12:50:52,900
06/06/2017 13:05:52,900
06/06/2017 13:05:52,900
06/06/2017 13:20:52,900
06/06/2017 13:20:52,300
06/06/2017 13:35:52,300
06/06/2017 13:35:52,900
06/06/2017 13:50:52,900
06/06/2017 13:50:52,900
06/06/2017 14:05:52,900
06/06/2017 14:05:52,900
06/06/2017 14:20:52,900
06/06/2017 14:20:52,700
06/06/2017 14:35:52,700
06/06/2017 14:35:52,900
06/06/2017 14:50:52,900
06/06/2017 14:50:52,900
06/06/2017 15:05:52,900
06/06/2017 15:05:52,900
06/06/2017 15:20:52,900
06/06/2017 15:20:52,900
06/06/2017 15:35:52,900
06/06/2017 15:35:52,1000
06/06/2017 15:50:52,1000
06/06/2017 15:50:52,900
06/06/2017 16:05:52,900
06/06/2017 16:05:52,900
06/06/2017 16:20:52,900
06/06/2017 16:20:52,900
06/06/2017 16:35:52,900
06/06/2017 16:35:52,900
06/06/2017 16:50:52,900
06/06/2017 16:50:52,900
06/06/2017 17:05:52,900
06/06/2017 17:05:52,900
06/06/2017 17:20:52,900
06/06/2017 17:20:52,300
06/06/2017 17:35:52,300
06/06/2017 17:35:52,900
06/06/2017 17:50:52,900
06/06/2017 17:50:52,900
06/06/2017 18:05:52,900
06/06/2017 18:05:52,900
06/06/2017 18:20:52,900
06/06/2017 18:20:52,800
06/06/2017 18:35:52,800
06/06/2017 18:35:52,900
06/06/2017 18:50:52,900
06/06/2017 18:50:52,900
06/06/2017 19:05:52,900
06/06/2017 19:05:52,900
06/06/2017 19:20:52,900
06/06/2017 19:20:52,900
06/06/2017 19:35:52,900
06/06/2017 19:35:52,800
06/06/2017 19:50:52,800
06/06/2017 19:50:52,900
06/06/2017 20:05:52,900
06/06/2017 20:05:52,900
06/06/2017 20:20:52,900
06/06/2017 20:20:52,900
06/06/2017 20:35:52,900
06/06/2017 20:35:52,300
06/06/2017 20:50:52,300
06/06/2017 20:50:52,900
06/06/2017 21:05:52,900
06/06/2017 21:05:52,900
06/06/2017 21:20:52,900
06/06/2017 21:20:52,800
06/06/2017 21:35:52,800
06/06/2017 21:35:52,300
06/06/2017 21:50:52,300
06/06/2017 21:50:52,900
06/06/2017 22:05:52,900
06/06/2017 22:05:52,900
06/06/2017 22:20:52,900
06/06/2017 22:20:52,900
06/06/2017 22:35:52,900
06/06/2017 22:35:52,900
06/06/2017 22:50:52,900
06/06/2017 22:50:52,900
06/06/2017 23:05:52,900
06/06/2017 23:05:52,900
06/06/2017 23:20:52,900
06/06/2017 23:20:52,900
06/06/2017 23:35:52,900
06/06/2017 23:35:52,800
06/06/2017 23:50:52,800
06/06/2017 23:50:52,900
07/06/2017 00:05:52,900
07/06/2017 00:05:52,900
07/06/2017 00:20:52,900
07/06/2017 00:20:52,900
07/06/2017 00:35:52,900
07/06/2017 00:35:52,900
07/06/2017 00:50:52,900
07/06/2017 00:50:52,900
07/06/2017 01:05:52,900
07/06/2017 01:05:52,900
07/06/2017 01:20:52,900
07/06/2017 01:20:52,900
07/06/2017 01:35:52,900
07/06/2017 01:35:52,900
07/06/2017 01:50:52,900
07/06/2017 01:50:52,900
07/06/2017 02:05:52,900
07/06/2017 02:05:52,900
07/06/2017 02:20:52,900
07/06/2017 02:20:52,900
07/06/2017 02:35:52,900
07/06/2017 02:35:52,900
07/06/2017 02:50:52,900
07/06/2017 02:50:52,900
07/06/2017 03:05:52,900
07/06/2017 03:05:52,900
07/06/2017 03:20:52,900
07/06/2017 03:20:52,900
07/06/2017 03:35:52,900
07/06/2017 03:35:52,300
07/06/2017 03:50:52,300
07/06/2017 03:50:52,900
07/06/2017 04:05:52,900
07/06/2017 04:05:52,900
07/06/2017 04:20:52,900
07/06/2017 04:20:52,900
07/06/2017 04:35:52,900
07/06/2017 04:35:52,900
07/06/2017 04:50:52,900
07/06/2017 04:50:52,900
07/06/2017 05:05:52,900
07/06/2017 05:05:52,900
07/06/2017 05:20:52,900
07/06/2017 05:20:52,900
07/06/2017 05:35:52,900
07/06/2017 05:35:52,800
07/06/2017 05:50:52,800
07/06/2017 05:50:52,900
07/06/2017 06:05:52,900
07/06/2017 06:05:52,900
07/06/2017 06:20:52,900
07/06/2017 06:20:52,300
07/06/2017 06:35:52,300
07/06/2017 06:35:52,900
07/06/2017 06:50:52,900
07/06/2017 06:50:52,900
07/06/2017 07:05:52,900
07/06/2017 07:05:52,900
07/06/2017 07:20:52,900
07/06/2017 07:20:52,900
07/06/2017 07:35:52,900
07/06/2017 07:35:52,900
07/06/2017 07:50:52,900
07/06/2017 07:50:52,900
07/06/2017 08:05:52,900
07/06/2017 08:05:52,1100
07/06/2017 08:20:52,1100
07/06/2017 08:20:52,1100
07/06/2017 08:35:52,1100
07/06/2017 08:35:52,1200
07/06/2017 08:50:52,1200
07/06/2017 08:50:52,1100
07/06/2017 09:05:52,1100
07/06/2017 09:05:52,1100
07/06/2017 09:20:52,1100
07/06/2017 09:20:52,1300
07/06/2017 09:35:52,1300
07/06/2017 09:35:52,1300
07/06/2017 09:50:52,1300
07/06/2017 09:50:52,1100
07/06/2017 10:05:52,1100
07/06/2017 10:05:52,1100
07/06/2017 10:20:52,1100
07/06/2017 10:20:52,1100
07/06/2017 10:35:52,1100
07/06/2017 10:35:52,1100
07/06/2017 10:50:52,1100
07/06/2017 10:50:52,1100
07/06/2017 11:05:52,1100
07/06/2017 11:05:52,1100
07/06/2017 11:20:52,1100
07/06/2017 11:20:52,1100
07/06/2017 11:35:52,1100
07/06/2017 11:35:52,1300
07/06/2017 11:50:52,1300
07/06/2017 11:50:52,1100
07/06/2017 12:05:52,1100
07/06/2017 12:05:52,1100
07/06/2017 12:20:52,1100
07/06/2017 12:20:52,1400
07/06/2017 12:35:52,1400
07/06/2017 12:35:52,1500
07/06/2017 12:50:52,1500
07/06/2017 12:50:52,1100
07/06/2017 13:05:52,1100
07/06/2017 13:05:52,1100
07/06/2017 13:20:52,1100
07/06/2017 13:20:52,1400
07/06/2017 13:35:52,1400
07/06/2017 13:35:52,1100
07/06/2017 13:50:52,1100
07/06/2017 13:50:52,1100
07/06/2017 14:05:52,1100
07/06/2017 14:05:52,1100
07/06/2017 14:20:52,1100
07/06/2017 14:20:52,1100
07/06/2017 14:35:52,1100
07/06/2017 14:35:52,1200
07/06/2017 14:50:52,1200
07/06/2017 14:50:52,1100
07/06/2017 15:05:52,1100
07/06/2017 15:05:52,1100
07/06/2017 15:20:52,1100
07/06/2017 15:20:52,1100
07/06/2017 15:35:52,1100
07/06/2017 15:35:52,1300
07/06/2017 15:50:52,1300
07/06/2017 15:50:52,1100
07/06/2017 16:05:52,1100
07/06/2017 16:05:52,1100
07/06/2017 16:20:52,1100
07/06/2017 16:20:52,1100
07/06/2017 16:35:52,1100
07/06/2017 16:35:52,1600
07/06/2017 16:50:52,1600
07/06/2017 16:50:52,1100
07/06/2017 17:05:52,1100
07/06/2017 17:05:52,1100
07/06/2017 17:20:52,1100
07/06/2017 17:20:52,1100
07/06/2017 17:35:52,1100
07/06/2017 17:35:52,1200
07/06/2017 17:50:52,1200
07/06/2017 17:50:52,1100
07/06/2017 18:05:52,1100
07/06/2017 18:05:52,1100
07/06/2017 18:20:52,1100
07/06/2017 18:20:52,1100
07/06/2017 18:35:52,1100
07/06/2017 18:35:52,1100
07/06/2017 18:50:52,1100
07/06/2017 18:50:52,1100
07/06/2017 19:05:52,1100
07/06/2017 19:05:52,1100
07/06/2017 19:20:52,1100
07/06/2017 19:20:52,1100
07/06/2017 19:35:52,1100
07/06/2017 19:35:52,1400
07/06/2017 19:50:52,1400
07/06/2017 19:50:52,1100
07/06/2017 20:05:52,1100
07/06/2017 20:05:52,1100
07/06/2017 20:20:52,1100
07/06/2017 20:20:52,1200
07/06/2017 20:35:52,1200
07/06/2017 20:35:52,1700
07/06/2017 20:50:52,1700
07/06/2017 20:50:52,1100
07/06/2017 21:05:52,1100
07/06/2017 21:05:52,1100
07/06/2017 21:20:52,1100
07/06/2017 21:20:52,1100
07/06/2017 21:35:52,1100
07/06/2017 21:35:52,1100
07/06/2017 21:50:52,1100
07/06/2017 21:50:52,1100
07/06/2017 22:05:52,1100
07/06/2017 22:05:52,1100
07/06/2017 22:20:52,1100
07/06/2017 22:20:52,1200
07/06/2017 22:35:52,1200
07/06/2017 22:35:52,1200
07/06/2017 22:50:52,1200
07/06/2017 22:50:52,1100
07/06/2017 23:05:52,1100
07/06/2017 23:05:52,1100
07/06/2017 23:20:52,1100
07/06/2017 23:20:52,1100
07/06/2017 23:35:52,1100
07/06/2017 23:35:52,1400
07/06/2017 23:50:52,1400
